date_time,measurement_number,temp_C,relative_hum_NaCl,relative_hum_Ice
2018-12-19 00:00:00,11549,-20.167,53.306,64.41
2018-12-19 00:15:00,11550,-20.073,53.239,64.29
2018-12-19 00:30:00,11551,-19.839,53.167,64.06
2018-12-19 00:45:00,11552,-19.7,53.189,63.99
2018-12-19 01:00:00,11553,-19.469,53.389,64.04
2018-12-19 01:15:00,11554,-19.103,53.556,63.97
2018-12-19 01:30:00,11555,-18.787,53.797,64.01
2018-12-19 01:45:00,11556,-18.607,53.989,64.08
2018-12-19 02:00:00,11557,-18.385,54.242,64.19
2018-12-19 02:15:00,11558,-18.296,54.583,64.48
2018-12-19 02:30:00,11559,-18.12,55.02,64.80
2018-12-19 02:45:00,11560,-18.032,55.496,65.22
2018-12-19 03:00:00,11561,-17.988,56.153,65.85
2018-12-19 03:15:00,11562,-18.032,56.929,66.65
2018-12-19 03:30:00,11563,-18.076,57.702,67.45
2018-12-19 03:45:00,11564,-18.076,58.56,68.31
2018-12-19 04:00:00,11565,-18.032,59.423,69.14
2018-12-19 04:15:00,11566,-18.076,60.213,69.96
2018-12-19 04:30:00,11567,-17.944,60.953,70.62
2018-12-19 04:45:00,11568,-17.988,61.686,71.38
2018-12-19 05:00:00,11569,-17.944,62.247,71.91
2018-12-19 05:15:00,11570,-17.901,62.808,72.44
2018-12-19 05:30:00,11571,-17.988,63.264,72.96
2018-12-19 05:45:00,11572,-18.164,63.571,73.38
2018-12-19 06:00:00,11573,-18.252,63.764,73.63
2018-12-19 06:15:00,11574,-18.252,63.894,73.76
2018-12-19 06:30:00,11575,-18.385,64.13,74.08
2018-12-19 06:45:00,11576,-18.474,64.321,74.33
2018-12-19 07:00:00,11577,-18.697,64.487,74.64
2018-12-19 07:15:00,11578,-18.967,64.617,74.95
2018-12-19 07:30:00,11579,-19.103,64.565,74.98
2018-12-19 07:45:00,11580,-19.377,64.486,75.08
2018-12-19 08:00:00,11581,-19.654,64.407,75.18
2018-12-19 08:15:00,11582,-19.933,64.354,75.31
2018-12-19 08:30:00,11583,-20.12,64.318,75.40
2018-12-19 08:45:00,11584,-20.356,64.273,75.50
2018-12-19 09:00:00,11585,-20.547,64.314,75.67
2018-12-19 09:15:00,11586,-20.738,64.226,75.71
2018-12-19 09:30:00,11587,-21.028,64.015,75.68
2018-12-19 09:45:00,11588,-21.223,63.901,75.70
2018-12-19 10:00:00,11589,-21.469,63.828,75.78
2018-12-19 10:15:00,11590,-21.716,63.807,75.92
2018-12-19 10:30:00,11591,-22.016,63.75,76.06
2018-12-19 10:45:00,11592,-22.371,63.836,76.38
2018-12-19 11:00:00,11593,-22.833,63.825,76.67
2018-12-19 11:15:00,11594,-23.409,63.817,77.03
2018-12-19 11:30:00,11595,-23.781,63.873,77.33
2018-12-19 11:45:00,11596,-24.105,63.989,77.66
2018-12-19 12:00:00,11597,-24.433,64.13,78.01
2018-12-19 12:15:00,11598,-24.709,64.305,78.37
2018-12-19 12:30:00,11599,-24.932,64.439,78.64
2018-12-19 12:45:00,11600,-25.214,64.587,78.98
2018-12-19 13:00:00,11601,-25.441,64.744,79.28
2018-12-19 13:15:00,11602,-25.728,64.839,79.56
2018-12-19 13:30:00,11603,-26.019,64.908,79.82
2018-12-19 13:45:00,11604,-26.253,64.963,80.03
2018-12-19 14:00:00,11605,-26.49,65.067,80.29
2018-12-19 14:15:00,11606,-26.609,65.143,80.44
2018-12-19 14:30:00,11607,-26.669,65.307,80.64
2018-12-19 14:45:00,11608,-26.789,65.408,80.82
2018-12-19 15:00:00,11609,-26.91,65.459,80.95
2018-12-19 15:15:00,11610,-27.031,65.46,81.03
2018-12-19 15:30:00,11611,-27.214,65.424,81.11
2018-12-19 15:45:00,11612,-27.398,65.337,81.15
2018-12-19 16:00:00,11613,-27.646,65.213,81.18
2018-12-19 16:15:00,11614,-27.833,65.176,81.27
2018-12-19 16:30:00,11615,-27.959,65.126,81.30
2018-12-19 16:45:00,11616,-28.213,64.976,81.31
2018-12-19 17:00:00,11617,-28.469,64.8,81.30
2018-12-19 17:15:00,11618,-28.727,64.674,81.35
2018-12-19 17:30:00,11619,-28.858,64.624,81.38
2018-12-19 17:45:00,11620,-28.923,64.586,81.39
2018-12-19 18:00:00,11621,-28.989,64.523,81.37
2018-12-19 18:15:00,11622,-28.989,64.498,81.34
2018-12-19 18:30:00,11623,-28.923,64.486,81.29
2018-12-19 18:45:00,11624,-28.858,64.524,81.28
2018-12-19 19:00:00,11625,-28.727,64.55,81.22
2018-12-19 19:15:00,11626,-28.598,64.6,81.19
2018-12-19 19:30:00,11627,-28.404,64.638,81.10
2018-12-19 19:45:00,11628,-28.213,64.626,80.96
2018-12-19 20:00:00,11629,-27.959,64.626,80.80
2018-12-19 20:15:00,11630,-27.833,64.626,80.72
2018-12-19 20:30:00,11631,-27.708,64.626,80.64
2018-12-19 20:45:00,11632,-27.584,64.6,80.53
2018-12-19 21:00:00,11633,-27.398,64.612,80.42
2018-12-19 21:15:00,11634,-27.214,64.623,80.31
2018-12-19 21:30:00,11635,-27.031,64.659,80.23
2018-12-19 21:45:00,11636,-26.789,64.706,80.12
2018-12-19 22:00:00,11637,-26.609,64.742,80.04
2018-12-19 22:15:00,11638,-26.253,64.787,79.85
2018-12-19 22:30:00,11639,-26.019,64.833,79.75
2018-12-19 22:45:00,11640,-25.728,64.865,79.59
2018-12-19 23:00:00,11641,-25.498,64.91,79.48
2018-12-19 23:15:00,11642,-25.27,64.955,79.38
2018-12-19 23:30:00,11643,-24.988,65.01,79.25
2018-12-19 23:45:00,11644,-24.654,65.101,79.13
2018-12-20 00:00:00,11645,-24.488,65.209,79.13
2018-12-20 00:15:00,11646,-24.269,65.278,79.05
2018-12-20 00:30:00,11647,-24.051,65.397,79.03
2018-12-20 00:45:00,11648,-24.051,65.473,79.11
2018-12-20 01:00:00,11649,-23.781,65.475,78.93
2018-12-20 01:15:00,11650,-23.462,65.614,78.86
2018-12-20 01:30:00,11651,-23.25,65.757,78.87
2018-12-20 01:45:00,11652,-22.989,65.936,78.88
2018-12-20 02:00:00,11653,-22.729,65.937,78.71
2018-12-20 02:15:00,11654,-22.32,66.043,78.55
2018-12-20 02:30:00,11655,-22.016,66.103,78.41
2018-12-20 02:45:00,11656,-21.766,66.076,78.22
2018-12-20 03:00:00,11657,-21.321,66.164,78.02
2018-12-20 03:15:00,11658,-20.98,66.309,77.95
2018-12-20 03:30:00,11659,-20.738,66.407,77.89
2018-12-20 03:45:00,11660,-20.499,66.429,77.75
2018-12-20 04:00:00,11661,-20.12,66.325,77.40
2018-12-20 04:15:00,11662,-19.979,66.251,77.24
2018-12-20 04:30:00,11663,-19.607,66.067,76.81
2018-12-20 04:45:00,11664,-19.24,65.934,76.44
2018-12-20 05:00:00,11665,-19.149,65.9,76.35
2018-12-20 05:15:00,11666,-19.103,65.78,76.20
2018-12-20 05:30:00,11667,-18.877,65.721,75.99
2018-12-20 05:45:00,11668,-18.607,65.851,75.95
2018-12-20 06:00:00,11669,-18.385,66.024,75.97
2018-12-20 06:15:00,11670,-18.164,66.196,76.00
2018-12-20 06:30:00,11671,-18.34,66.471,76.39
2018-12-20 06:45:00,11672,-18.429,66.582,76.56
2018-12-20 07:00:00,11673,-18.252,66.411,76.27
2018-12-20 07:15:00,11674,-18.208,66.394,76.23
2018-12-20 07:30:00,11675,-18.563,66.453,76.52
2018-12-20 07:45:00,11676,-18.787,66.203,76.41
2018-12-20 08:00:00,11677,-18.922,65.996,76.30
2018-12-20 08:15:00,11678,-18.967,66.038,76.37
2018-12-20 08:30:00,11679,-19.149,65.874,76.32
2018-12-20 08:45:00,11680,-19.285,65.822,76.36
2018-12-20 09:00:00,11681,-19.24,65.805,76.31
2018-12-20 09:15:00,11682,-19.24,65.676,76.18
2018-12-20 09:30:00,11683,-19.194,65.556,76.03
2018-12-20 09:45:00,11684,-19.746,65.68,76.51
2018-12-20 10:00:00,11685,-19.979,65.634,76.62
2018-12-20 10:15:00,11686,-19.7,65.432,76.24
2018-12-20 10:30:00,11687,-18.967,65.755,76.08
2018-12-20 10:45:00,11688,-18.922,66.022,76.32
2018-12-20 11:00:00,11689,-19.058,65.969,76.36
2018-12-20 11:15:00,11690,-19.24,65.908,76.41
2018-12-20 11:30:00,11691,-19.561,65.819,76.53
2018-12-20 11:45:00,11692,-19.331,66.019,76.58
2018-12-20 12:00:00,11693,-19.058,66.432,76.82
2018-12-20 12:15:00,11694,-18.967,67.066,77.39
2018-12-20 12:30:00,11695,-19.058,67.611,78.00
2018-12-20 12:45:00,11696,-19.377,67.93,78.53
2018-12-20 13:00:00,11697,-19.979,68.164,79.15
2018-12-20 13:15:00,11698,-20.738,68.035,79.51
2018-12-20 13:30:00,11699,-21.617,67.679,79.73
2018-12-20 13:45:00,11700,-22.833,67.307,80.15
2018-12-20 14:00:00,11701,-23.997,66.87,80.47
2018-12-20 14:15:00,11702,-25.101,66.372,80.69
2018-12-20 14:30:00,11703,-26.371,65.441,80.58
2018-12-20 14:45:00,11704,-27.584,64.6,80.53
2018-12-20 15:00:00,11705,-28.792,63.888,80.60
2018-12-20 15:15:00,11706,-29.722,63.307,80.63
2018-12-20 15:30:00,11707,-30.34,62.713,80.43
2018-12-20 15:45:00,11708,-30.619,62.409,80.31
2018-12-20 16:00:00,11709,-30.973,62.141,80.27
2018-12-20 16:15:00,11710,-31.333,61.973,80.34
2018-12-20 16:30:00,11711,-31.772,61.689,80.34
2018-12-20 16:45:00,11712,-32.369,61.376,80.42
2018-12-20 17:00:00,11713,-32.983,60.986,80.42
